b = 115106321688, a = 422, e = 420, n = 1284717778837
b = 653843014357, a = 423, e = 420, n = 1284717778837
b = 675470469759, a = 424, e = 420, n = 1284717778837
b = 937198356557, a = 425, e = 420, n = 1284717778837
b = 283355326172, a = 426, e = 420, n = 1284717778837
b = 738251010072, a = 427, e = 420, n = 1284717778837
b = 974073675457, a = 428, e = 420, n = 1284717778837
b = 148158366588, a = 429, e = 420, n = 1284717778837
b = 730246723041, a = 430, e = 420, n = 1284717778837
b = 858879024908, a = 431, e = 420, n = 1284717778837
b = 1127519046724, a = 432, e = 420, n = 1284717778837
b = 1009936634743, a = 433, e = 420, n = 1284717778837
b = 718058195205, a = 434, e = 420, n = 1284717778837
b = 966823481559, a = 435, e = 420, n = 1284717778837
b = 629941598537, a = 436, e = 420, n = 1284717778837
b = 908204671079, a = 437, e = 420, n = 1284717778837
b = 87054308100, a = 438, e = 420, n = 1284717778837
b = 709555294784, a = 439, e = 420, n = 1284717778837
b = 631415482281, a = 440, e = 420, n = 1284717778837
b = 1284654260319, a = 441, e = 420, n = 1284717778837
b = 361899652183, a = 442, e = 420, n = 1284717778837
b = 1032267473404, a = 443, e = 420, n = 1284717778837
b = 897040373112, a = 444, e = 420, n = 1284717778837
b = 879406917014, a = 445, e = 420, n = 1284717778837
b = 136063559377, a = 446, e = 420, n = 1284717778837
b = 904525501008, a = 447, e = 420, n = 1284717778837
b = 1169773109427, a = 448, e = 420, n = 1284717778837
b = 987938112979, a = 449, e = 420, n = 1284717778837
b = 205512883533, a = 450, e = 420, n = 1284717778837
b = 39342091142, a = 451, e = 420, n = 1284717778837
b = 598138085409, a = 452, e = 420, n = 1284717778837
b = 1084315524606, a = 453, e = 420, n = 1284717778837
b = 636390530740, a = 454, e = 420, n = 1284717778837
b = 1026986747809, a = 455, e = 420, n = 1284717778837
b = 1211570937216, a = 456, e = 420, n = 1284717778837
b = 643926683642, a = 457, e = 420, n = 1284717778837
b = 568947816300, a = 458, e = 420, n = 1284717778837
b = 37903764206, a = 459, e = 420, n = 1284717778837
b = 501586140190, a = 460, e = 420, n = 1284717778837
b = 1035918922802, a = 461, e = 420, n = 1284717778837
b = 1217536384953, a = 462, e = 420, n = 1284717778837
b = 655933474222, a = 463, e = 420, n = 1284717778837
b = 591468730272, a = 464, e = 420, n = 1284717778837
b = 557285627126, a = 465, e = 420, n = 1284717778837
b = 433524307564, a = 466, e = 420, n = 1284717778837
b = 961345964764, a = 467, e = 420, n = 1284717778837
b = 820454216991, a = 468, e = 420, n = 1284717778837
b = 393717495664, a = 469, e = 420, n = 1284717778837
b = 875869802936, a = 470, e = 420, n = 1284717778837
b = 457539338037, a = 471, e = 420, n = 1284717778837
b = 392575827590, a = 472, e = 420, n = 1284717778837
b = 636553148325, a = 473, e = 420, n = 1284717778837
b = 478964179081, a = 474, e = 420, n = 1284717778837
b = 228854413970, a = 475, e = 420, n = 1284717778837
b = 719724757911, a = 476, e = 420, n = 1284717778837
b = 24248829464, a = 477, e = 420, n = 1284717778837
b = 250396143417, a = 478, e = 420, n = 1284717778837
b = 938405259318, a = 479, e = 420, n = 1284717778837
b = 785026709055, a = 480, e = 420, n = 1284717778837
b = 1032536097344, a = 481, e = 420, n = 1284717778837
b = 800549341208, a = 482, e = 420, n = 1284717778837
b = 210514501181, a = 483, e = 420, n = 1284717778837
b = 896564898902, a = 483, e = 840, n = 1284717778837
b = 63198377878, a = 484, e = 840, n = 1284717778837
b = 742439150319, a = 485, e = 840, n = 1284717778837
b = 300096293968, a = 486, e = 840, n = 1284717778837
b = 1015890232399, a = 487, e = 840, n = 1284717778837
b = 295067861207, a = 488, e = 840, n = 1284717778837
b = 474245779776, a = 489, e = 840, n = 1284717778837
b = 896524941411, a = 490, e = 840, n = 1284717778837
b = 634704591600, a = 491, e = 840, n = 1284717778837
b = 883626224053, a = 492, e = 840, n = 1284717778837
b = 798776750712, a = 493, e = 840, n = 1284717778837
b = 245825903809, a = 494, e = 840, n = 1284717778837
b = 1131401884353, a = 495, e = 840, n = 1284717778837
b = 1095415580524, a = 496, e = 840, n = 1284717778837
b = 1056760339066, a = 497, e = 840, n = 1284717778837
b = 1181910431764, a = 498, e = 840, n = 1284717778837
b = 455780614082, a = 499, e = 840, n = 1284717778837
b = 782890741244, a = 500, e = 840, n = 1284717778837
b = 443693300830, a = 501, e = 840, n = 1284717778837
b = 15469567075, a = 502, e = 840, n = 1284717778837
b = 129926083197, a = 503, e = 840, n = 1284717778837
b = 256037818312, a = 504, e = 840, n = 1284717778837
b = 527711628076, a = 505, e = 840, n = 1284717778837
b = 238463434322, a = 506, e = 840, n = 1284717778837
b = 321165278103, a = 507, e = 840, n = 1284717778837
b = 1110100805323, a = 508, e = 840, n = 1284717778837
b = 747471634437, a = 509, e = 840, n = 1284717778837
b = 1117677179423, a = 510, e = 840, n = 1284717778837
b = 1196028513910, a = 511, e = 840, n = 1284717778837
b = 1237074332760, a = 512, e = 840, n = 1284717778837
b = 73404352654, a = 513, e = 840, n = 1284717778837
b = 888892246728, a = 514, e = 840, n = 1284717778837
b = 558415067236, a = 515, e = 840, n = 1284717778837
b = 886345393837, a = 516, e = 840, n = 1284717778837
